iter	Passed	Remaining
0	141	141805
1	142	70895
2	142	47253
3	142	35430
4	142	28339
5	142	23607
6	142	20236
7	142	17706
8	142	15739
9	143	14164
10	143	12872
11	143	11796
12	143	10885
13	143	10103
14	143	9427
15	143	8836
16	143	8314
17	143	7850
18	143	7434
19	144	7059
20	144	6721
21	144	6414
22	144	6134
23	144	5876
24	144	5639
25	144	5421
26	144	5219
27	144	5031
28	145	4858
29	145	4695
30	145	4543
31	145	4399
32	145	4264
33	145	4137
34	145	4017
35	145	3904
36	145	3798
37	146	3697
38	146	3601
39	146	3510
40	146	3423
41	146	3340
42	146	3261
43	146	3186
44	146	3114
45	146	3045
46	146	2979
47	147	2916
48	147	2855
49	147	2797
50	147	2741
51	147	2687
52	147	2635
53	147	2585
54	147	2537
55	147	2491
56	147	2446
57	147	2403
58	148	2361
59	148	2320
60	148	2281
61	148	2244
62	148	2207
63	148	2171
64	148	2137
65	148	2104
66	148	2071
67	148	2040
68	148	2010
69	149	1980
70	149	1951
71	149	1923
72	149	1896
73	149	1870
74	149	1844
75	149	1819
76	149	1794
77	149	1771
78	149	1748
79	150	1725
80	150	1703
81	150	1681
82	150	1660
83	150	1640
84	150	1620
85	150	1600
86	150	1581
87	150	1563
88	150	1544
89	151	1526
90	151	1509
91	151	1492
92	151	1475
93	151	1458
94	151	1442
95	151	1427
96	151	1411
97	151	1396
98	151	1381
99	151	1367
100	152	1353
101	152	1338
102	152	1325
103	152	1311
104	152	1298
105	152	1285
106	152	1273
107	152	1260
108	152	1248
109	152	1236
110	152	1224
111	153	1213
112	153	1201
113	153	1190
114	153	1179
115	153	1169
116	153	1158
117	153	1148
118	153	1137
119	153	1127
120	153	1117
121	153	1108
122	154	1098
123	154	1089
124	154	1079
125	154	1070
126	154	1061
127	154	1053
128	154	1044
129	154	1035
130	154	1027
131	154	1018
132	155	1010
133	155	1002
134	155	994
135	155	986
136	155	979
137	155	971
138	155	964
139	155	956
140	155	949
141	155	942
142	156	935
143	156	928
144	156	921
145	156	914
146	156	907
147	156	900
148	156	894
149	156	887
150	156	881
151	156	875
152	157	869
153	157	863
154	157	857
155	157	850
156	157	844
157	157	839
158	157	833
159	157	827
160	157	821
161	157	816
162	157	810
163	157	805
164	158	800
165	158	794
166	158	789
167	158	784
168	158	779
169	158	774
170	158	769
171	158	764
172	158	759
173	158	754
174	159	749
175	159	745
176	159	740
177	159	735
178	159	731
179	159	726
180	159	722
181	159	717
182	159	713
183	159	709
184	159	704
185	160	700
186	160	696
187	160	692
188	160	688
189	160	684
190	160	680
191	160	676
192	160	672
193	160	668
194	160	664
195	161	660
196	161	656
197	161	653
198	161	649
199	161	645
200	161	642
201	161	638
202	161	635
203	161	631
204	162	628
205	162	625
206	162	621
207	162	618
208	162	615
209	162	611
210	162	608
211	162	605
212	162	601
213	163	598
214	163	595
215	163	592
216	163	589
217	163	586
218	163	583
219	163	580
220	163	577
221	163	574
222	163	571
223	164	568
224	164	565
225	164	562
226	164	559
227	164	556
228	164	553
229	164	551
230	164	548
231	164	545
232	164	542
233	164	540
234	165	537
235	165	534
236	165	532
237	165	529
238	165	526
239	165	524
